                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.77986,                 0.7417,                 1.2811,                0.86939,                0.85868,                0.86899,                0.75995,                0.57975,                0.83574,                 1.3602,               0.006964,               0.006964,               0.006964
                     49,                0.78101,                0.73012,                 1.2809,                0.87372,                0.85204,                0.87053,                0.76297,                0.58119,                0.83788,                 1.3592,               0.006898,               0.006898,               0.006898
                     50,                0.77163,                0.72495,                 1.2773,                0.87678,                0.85831,                0.86943,                0.76277,                0.57982,                0.84402,                 1.3552,               0.006832,               0.006832,               0.006832
                     51,                0.76538,                0.72487,                 1.2783,                0.87547,                0.85869,                0.87138,                0.76436,                0.57876,                0.84276,                 1.3481,               0.006766,               0.006766,               0.006766
                     52,                0.76272,                 0.7204,                 1.2778,                0.87509,                0.85347,                0.87149,                  0.764,                0.58049,                0.84512,                 1.3478,                 0.0067,                 0.0067,                 0.0067
                     53,                0.76289,                0.72188,                  1.274,                0.87325,                0.85218,                 0.8692,                0.76366,                0.58117,                0.84801,                 1.3488,               0.006634,               0.006634,               0.006634
                     54,                0.75722,                0.71035,                 1.2658,                0.86693,                0.85646,                0.86924,                 0.7626,                0.58157,                0.84994,                 1.3477,               0.006568,               0.006568,               0.006568
                     55,                0.75184,                0.70566,                 1.2692,                 0.8607,                0.86336,                0.86877,                 0.7619,                0.58167,                0.85035,                  1.347,               0.006502,               0.006502,               0.006502
                     56,                0.75014,                 0.7093,                 1.2696,                0.87237,                0.85473,                 0.8678,                0.76072,                0.58068,                0.84723,                 1.3505,               0.006436,               0.006436,               0.006436
                     57,                0.74861,                0.70853,                 1.2721,                0.87214,                0.85767,                0.86942,                0.76194,                0.57924,                0.84569,                 1.3513,                0.00637,                0.00637,                0.00637
                     58,                0.74418,                0.70248,                 1.2677,                0.86963,                0.85857,                0.86807,                0.76329,                0.57759,                0.84544,                 1.3536,               0.006304,               0.006304,               0.006304
                     59,                0.73683,                0.69745,                 1.2678,                0.87387,                0.85345,                0.86938,                0.76406,                0.57697,                 0.8444,                 1.3538,               0.006238,               0.006238,               0.006238
                     60,                 0.7407,                0.70003,                 1.2649,                0.86895,                0.85865,                0.86924,                0.76224,                0.57704,                0.84075,                 1.3536,               0.006172,               0.006172,               0.006172
                     61,                0.73358,                0.69014,                  1.264,                0.87057,                 0.8587,                0.86947,                0.76248,                0.57646,                0.83777,                 1.3533,               0.006106,               0.006106,               0.006106
                     62,                0.72963,                 0.6944,                 1.2615,                0.87271,                0.85831,                0.86987,                0.76377,                0.57538,                 0.8362,                 1.3521,                0.00604,                0.00604,                0.00604
                     63,                 0.7284,                0.68954,                 1.2591,                0.86967,                0.86042,                0.86887,                0.76315,                0.57382,                0.83271,                 1.3511,               0.005974,               0.005974,               0.005974
                     64,                0.72439,                 0.6885,                 1.2645,                0.86782,                0.86457,                0.86923,                0.76365,                 0.5731,                0.83188,                 1.3506,               0.005908,               0.005908,               0.005908
                     65,                0.72126,                 0.6904,                 1.2618,                 0.8655,                0.86483,                0.86979,                0.76423,                0.57342,                0.83144,                 1.3501,               0.005842,               0.005842,               0.005842
                     66,                0.72197,                0.68739,                 1.2633,                0.86534,                0.86637,                0.87024,                0.76486,                0.57316,                0.82982,                 1.3505,               0.005776,               0.005776,               0.005776
                     67,                0.71566,                0.67873,                 1.2587,                0.86561,                0.86649,                0.87001,                0.76443,                0.57252,                 0.8283,                 1.3506,                0.00571,                0.00571,                0.00571
                     68,                0.71165,                 0.6744,                 1.2558,                0.86583,                 0.8673,                0.86943,                0.76427,                0.57212,                0.82701,                 1.3506,               0.005644,               0.005644,               0.005644
                     69,                0.70853,                0.67868,                 1.2576,                0.86637,                 0.8665,                0.86883,                0.76466,                0.57276,                0.82568,                 1.3505,               0.005578,               0.005578,               0.005578
                     70,                0.70897,                0.67546,                 1.2586,                0.86502,                0.86789,                0.86943,                0.76514,                0.57253,                0.82464,                 1.3498,               0.005512,               0.005512,               0.005512
                     71,                0.70223,                0.66423,                 1.2599,                0.86702,                0.86783,                0.87023,                0.76599,                0.57254,                0.82487,                 1.3495,               0.005446,               0.005446,               0.005446
                     72,                0.70016,                 0.6574,                  1.251,                0.86587,                0.86804,                0.86996,                0.76536,                 0.5722,                0.82376,                 1.3498,                0.00538,                0.00538,                0.00538
                     73,                 0.7014,                0.66484,                 1.2577,                0.86702,                0.86727,                0.86984,                0.76575,                0.57234,                0.82292,                 1.3496,               0.005314,               0.005314,               0.005314
                     74,                0.69588,                0.66197,                 1.2631,                0.86666,                0.86647,                0.86988,                0.76566,                0.57205,                0.82284,                 1.3493,               0.005248,               0.005248,               0.005248
                     75,                0.68745,                0.64547,                 1.2548,                0.86471,                0.86729,                0.86995,                 0.7656,                0.57128,                0.82252,                 1.3487,               0.005182,               0.005182,               0.005182
                     76,                0.68649,                 0.6443,                 1.2449,                0.86415,                0.86784,                 0.8702,                0.76527,                 0.5706,                0.82018,                 1.3482,               0.005116,               0.005116,               0.005116
                     77,                0.68533,                0.64187,                 1.2512,                0.86433,                0.86823,                 0.8694,                0.76577,                0.57025,                0.82126,                  1.348,                0.00505,                0.00505,                0.00505
                     78,                0.68058,                0.64187,                 1.2483,                0.86268,                0.86801,                0.86905,                0.76527,                0.57026,                0.82193,                 1.3475,               0.004984,               0.004984,               0.004984
                     79,                0.67904,                0.63199,                 1.2484,                0.86271,                0.86855,                0.86956,                0.76575,                0.57038,                0.82133,                 1.3474,               0.004918,               0.004918,               0.004918
                     80,                 0.6717,                0.62721,                 1.2409,                0.86329,                0.86871,                0.86957,                0.76562,                0.57003,                0.82046,                 1.3477,               0.004852,               0.004852,               0.004852
                     81,                0.67161,                 0.6258,                 1.2456,                 0.8626,                0.86901,                0.86978,                0.76632,                0.56987,                0.82037,                  1.348,               0.004786,               0.004786,               0.004786
                     82,                0.66666,                0.62607,                  1.247,                0.86453,                0.86829,                0.86972,                0.76608,                0.56955,                0.81977,                 1.3482,                0.00472,                0.00472,                0.00472
                     83,                0.66211,                0.62127,                 1.2444,                 0.8658,                0.86769,                0.87028,                0.76582,                0.56972,                0.81895,                 1.3481,               0.004654,               0.004654,               0.004654
                     84,                0.66251,                  0.618,                 1.2442,                0.86681,                0.86773,                0.87089,                0.76712,                0.56961,                0.81803,                 1.3477,               0.004588,               0.004588,               0.004588
                     85,                0.65887,                0.60986,                 1.2516,                0.86775,                0.86739,                 0.8704,                0.76728,                0.56923,                0.81841,                 1.3472,               0.004522,               0.004522,               0.004522
                     86,                0.65167,                0.60082,                 1.2397,                0.86839,                0.86704,                0.87037,                0.76739,                0.56908,                0.81737,                 1.3469,               0.004456,               0.004456,               0.004456
                     87,                0.65354,                 0.6073,                 1.2419,                0.86793,                0.86688,                0.86989,                0.76822,                0.56886,                0.81739,                 1.3474,                0.00439,                0.00439,                0.00439
                     88,                0.64674,                0.59679,                 1.2402,                  0.867,                0.86792,                0.87019,                0.76847,                0.56883,                0.81649,                  1.348,               0.004324,               0.004324,               0.004324
                     89,                0.64475,                0.59637,                  1.235,                0.86619,                0.86935,                0.87014,                0.76841,                0.56859,                 0.8172,                  1.348,               0.004258,               0.004258,               0.004258
                     90,                0.64409,                0.59219,                  1.232,                0.86493,                 0.8699,                0.87022,                0.76849,                0.56878,                0.81687,                 1.3488,               0.004192,               0.004192,               0.004192
                     91,                 0.6401,                0.59447,                 1.2389,                0.86476,                 0.8704,                0.87049,                0.76907,                0.56896,                0.81743,                 1.3492,               0.004126,               0.004126,               0.004126
                     92,                0.63502,                0.58256,                 1.2372,                0.86344,                0.86917,                0.87097,                0.76981,                 0.5688,                0.81713,                 1.3495,                0.00406,                0.00406,                0.00406
                     93,                0.62928,                0.58244,                  1.228,                0.86312,                0.86908,                0.87145,                0.76984,                0.56841,                0.81631,                 1.3504,               0.003994,               0.003994,               0.003994
                     94,                0.62812,                 0.5757,                 1.2326,                0.86128,                0.86982,                0.87168,                0.77124,                0.56822,                 0.8168,                 1.3502,               0.003928,               0.003928,               0.003928
                     95,                0.62458,                0.57334,                 1.2345,                0.86153,                0.86985,                0.87229,                0.77079,                0.56832,                0.81657,                 1.3506,               0.003862,               0.003862,               0.003862
                     96,                0.62069,                0.57029,                 1.2265,                0.86325,                0.86892,                0.87223,                0.77096,                0.56833,                 0.8163,                 1.3515,               0.003796,               0.003796,               0.003796
                     97,                0.61973,                0.57254,                 1.2276,                0.86428,                0.86745,                 0.8725,                0.77149,                0.56835,                0.81565,                 1.3523,                0.00373,                0.00373,                0.00373
                     98,                0.61898,                0.57161,                 1.2274,                0.86247,                0.86918,                0.87261,                0.77133,                 0.5674,                 0.8145,                 1.3533,               0.003664,               0.003664,               0.003664
                     99,                0.61564,                0.56509,                 1.2284,                0.86144,                0.86946,                0.87281,                0.77202,                0.56699,                0.81481,                  1.354,               0.003598,               0.003598,               0.003598
                    100,                0.61366,                0.56436,                 1.2272,                0.86364,                0.86946,                0.87281,                0.77278,                0.56714,                 0.8147,                 1.3546,               0.003532,               0.003532,               0.003532
                    101,                0.60809,                0.55353,                 1.2224,                 0.8649,                0.86773,                0.87318,                 0.7731,                0.56739,                0.81399,                 1.3551,               0.003466,               0.003466,               0.003466
                    102,                0.60263,                0.54914,                  1.215,                0.86254,                0.86851,                0.87342,                0.77343,                0.56757,                0.81343,                 1.3549,                 0.0034,                 0.0034,                 0.0034
                    103,                0.59854,                0.54702,                 1.2152,                0.86284,                0.86851,                0.87344,                0.77339,                0.56734,                0.81355,                  1.355,               0.003334,               0.003334,               0.003334
                    104,                0.60151,                0.54716,                 1.2208,                0.86319,                0.86793,                0.87369,                0.77309,                0.56677,                0.81416,                 1.3554,               0.003268,               0.003268,               0.003268
                    105,                0.59317,                0.54353,                 1.2211,                0.86379,                0.86795,                0.87408,                0.77358,                0.56685,                0.81426,                 1.3554,               0.003202,               0.003202,               0.003202
                    106,                0.59637,                0.54378,                 1.2159,                 0.8645,                0.86694,                0.87442,                0.77399,                0.56628,                0.81378,                 1.3555,               0.003136,               0.003136,               0.003136
                    107,                0.58992,                0.53639,                 1.2174,                0.86246,                0.86864,                0.87446,                 0.7739,                0.56641,                0.81426,                 1.3556,                0.00307,                0.00307,                0.00307
                    108,                0.58604,                0.53583,                 1.2124,                0.86274,                0.86889,                0.87443,                0.77338,                0.56643,                0.81338,                 1.3558,               0.003004,               0.003004,               0.003004
                    109,                0.58565,                0.53207,                 1.2137,                0.86221,                0.86828,                0.87501,                0.77443,                0.56584,                0.81342,                 1.3559,               0.002938,               0.002938,               0.002938
                    110,                0.58017,                0.52651,                 1.2114,                0.86232,                0.86834,                 0.8757,                0.77487,                0.56611,                0.81247,                 1.3561,               0.002872,               0.002872,               0.002872
                    111,                0.57791,                0.52377,                 1.2127,                 0.8646,                0.86694,                0.87544,                0.77519,                0.56582,                0.81154,                 1.3559,               0.002806,               0.002806,               0.002806
                    112,                0.57307,                0.51801,                 1.2067,                0.86469,                0.86707,                0.87649,                0.77628,                0.56556,                0.81152,                 1.3563,                0.00274,                0.00274,                0.00274
                    113,                0.57345,                0.52454,                 1.2085,                0.86661,                0.86662,                0.87694,                0.77663,                 0.5651,                0.81073,                 1.3562,               0.002674,               0.002674,               0.002674
                    114,                0.56569,                0.51222,                 1.2084,                 0.8673,                0.86656,                0.87673,                0.77714,                0.56515,                0.81063,                 1.3565,               0.002608,               0.002608,               0.002608
                    115,                0.56631,                0.51165,                 1.2096,                 0.8676,                0.86614,                 0.8772,                0.77752,                0.56445,                0.80998,                 1.3564,               0.002542,               0.002542,               0.002542
                    116,                0.56168,                0.50719,                 1.2029,                0.86793,                0.86649,                0.87807,                0.77866,                0.56429,                0.80922,                 1.3566,               0.002476,               0.002476,               0.002476
                    117,                0.55816,                0.50783,                 1.2034,                0.86863,                0.86643,                0.87827,                0.77873,                0.56412,                0.80982,                  1.357,                0.00241,                0.00241,                0.00241
